bus,d,t,V_V,P_gen_kW,P_dem_kW,Q_dem_kVar,n_cap
B21,0,12,14994.516052980265,0.0,25.00217711,10.42557573,-0.0
B21,0,13,14995.825610941827,0.0,16.89916967,7.201710818999999,-0.0
B21,0,14,14995.921757071648,0.0,16.23570336,7.110704487,-0.0
B21,0,15,14996.003102438903,0.0,16.16780146,7.060901557,-0.0
B21,0,16,14995.937721545664,0.0,16.260106350000004,7.201564839,-0.0
B21,0,17,14995.54938722404,0.0,16.65291594,8.188105159,-0.0
B21,0,18,14995.89436634338,0.0,13.01121567,6.739808883,-0.0
B21,0,19,14995.97083812365,0.0,13.006576759999998,7.515251119999999,-0.0
B21,0,20,14996.395603368253,0.0,10.86941701,6.822455197,-0.0
B21,0,21,14996.458944249596,0.0,10.86941701,7.573683308,-0.0
B21,0,22,14996.564437759169,0.0,10.86941701,8.296122075,-0.0
B21,0,23,14997.09514181682,0.0,10.86941701,8.185183513,-0.0
B21,0,24,14997.410944963889,0.0,10.86941701,8.2208888,-0.0
B22,0,1,14997.270788334457,0.0,12.22809413,7.345339208,-0.0
B22,0,2,14997.304126046052,0.0,12.22809413,8.565040133,-0.0
B22,0,3,14997.287734206273,0.0,12.22809413,8.587408598,-0.0
B22,0,4,14997.342708635404,0.0,12.22809413,8.516397598,-0.0
B22,0,5,14997.206392261305,0.0,12.22809413,8.650648735,-0.0
B22,0,6,14996.84664698373,0.0,12.22809413,8.46506689,-0.0
B22,0,7,14995.418307632792,0.0,19.850206220000004,13.07497764,-0.0
B22,0,8,14995.15378266272,0.0,19.9810483,12.489697800000002,-0.0
B22,0,9,14993.882853144081,0.0,27.16218746,14.98488783,-0.0
B22,0,10,14993.838039076356,0.0,27.7749885,13.08699747,-0.0
B22,0,11,14993.74416387332,0.0,27.47318527,12.10963873,-0.0
B22,0,12,14993.485316143304,0.0,28.12744924,11.7287727,-0.0
B22,0,13,14995.042818511569,0.0,19.01156588,8.101924671,-0.0
B22,0,14,14995.156386189663,0.0,18.26516628,7.999542548,-0.0
B22,0,15,14995.252755839283,0.0,18.18877664,7.943514251000001,-0.0
B22,0,16,14995.175921823364,0.0,18.29261964,8.101760443,-0.0
B22,0,17,14994.71487957864,0.0,18.73453043,9.211618304,-0.0
