i,j,d,t,P_kW,Q_kVar,I_A,y_pos,y_neg
B20,B26,0,14,-277.0110427506463,-71.89870074325064,11.020788572471279,0.0,1.0
B20,B26,0,15,-275.4555098308942,-71.3948967814272,10.957824045103699,0.0,1.0
B20,B26,0,16,-281.86193750371615,-72.81839331760759,11.210479927129624,0.0,1.0
B20,B26,0,17,-309.42408949602805,-82.79734499537668,12.335285492872327,0.0,1.0
B20,B26,0,18,-297.5644644765747,-68.15698548896108,11.755683040821863,0.0,1.0
B20,B26,0,19,-294.7540015391433,-75.9922983015245,11.72177667506098,0.0,1.0
B20,B26,0,20,-262.3258885283137,-68.98028966606299,10.444739399802334,0.0,1.0
B20,B26,0,21,-257.1077440912164,-76.57002343592798,10.330042146211122,0.0,1.0
B20,B26,0,22,-246.21984823433064,-83.86720437061783,10.015857803142007,0.0,1.0
B20,B26,0,23,-222.2825288365811,-82.73956648338347,9.132359228380958,0.0,1.0
B20,B26,0,24,-201.04999926845034,-83.09508530089305,8.375944385427898,0.0,1.0
B20,B32,0,1,177.1260644479372,62.30724364366662,7.229799532283662,1.0,0.0
B20,B32,0,2,171.91110136948623,72.6526680725563,7.186115440936154,1.0,0.0
B20,B32,0,3,169.30266291870578,72.84228771827581,7.096591708618313,1.0,0.0
B20,B32,0,4,167.9983181511573,72.23990450345423,7.041246808766929,1.0,0.0
B20,B32,0,5,169.0780111848529,73.37877431874456,7.096894003432412,1.0,0.0
B20,B32,0,6,179.86809715260551,71.80560885966489,7.457454694682517,1.0,0.0
B20,B32,0,7,265.388680454716,110.9171257745956,11.077604716083028,1.0,0.0
B20,B32,0,8,287.23710901520326,105.95387703524645,11.791401048636033,1.0,0.0
B20,B32,0,9,354.889043233353,127.12990245940179,14.521108872417914,1.0,0.0
B20,B32,0,10,356.0358582397851,111.03176766183479,14.366133983740726,1.0,0.0
B20,B32,0,11,349.72266509895957,102.74112933893802,14.040848788290807,1.0,0.0
B20,B32,0,12,356.4910381867249,99.51154832983097,14.25769179457023,1.0,0.0
B20,B32,0,13,272.37604475936564,68.73473266155268,10.819260321033026,1.0,0.0
B20,B32,0,14,267.81210996271017,67.86577467037952,10.640399023102978,1.0,0.0
B20,B32,0,15,266.2924432771953,67.38958227441198,10.579167527404143,1.0,0.0
B20,B32,0,16,272.64648497165376,68.73306529694754,10.829112893888649,1.0,0.0
B20,B32,0,17,299.9700370486116,78.14896846535783,11.939372677111782,1.0,0.0
B20,B32,0,18,290.16636133060734,64.326886982413,11.44696279853139,1.0,0.0
B20,B32,0,19,287.3605231505395,71.72662913120891,11.40698050502234,1.0,0.0
B20,B32,0,20,256.14815112672215,65.1115887581421,10.178464735234781,1.0,0.0
B20,B32,0,21,250.9325833037012,72.2797479801007,10.056667327177044,1.0,0.0
B20,B32,0,22,240.04915055772656,79.17263738058628,9.734274886830761,1.0,0.0
B20,B32,0,23,216.1209719764893,78.11201363056637,8.849236941616208,1.0,0.0
B20,B32,0,24,194.89579917225592,78.45109160786116,8.08983250480202,1.0,0.0
B21,B29,0,1,260.5225642912746,96.20201995857053,10.691163927514836,1.0,-0.0
B21,B29,0,2,248.12562916259938,112.17061615400723,10.48268518486837,1.0,-0.0
B21,B29,0,3,249.90886009925157,112.46302142636576,10.549905122963406,1.0,0.0
B21,B29,0,4,243.90239195997262,111.53260866464406,10.324494019149315,1.0,-0.0
B21,B29,0,5,259.0871894043409,113.2916393064509,10.8858757405108,1.0,0.0
B21,B29,0,6,302.8901414280203,110.86702437457245,12.417137271619454,1.0,-0.0
B21,B29,0,7,432.24491890787067,171.26672439376102,17.90054992105638,1.0,-0.0
B21,B29,0,8,467.36599525516857,163.61365117321876,19.06505560054781,1.0,-0.0
B21,B29,0,9,592.9174534354415,196.33076858106185,24.049028865801297,1.0,-0.0
B21,B29,0,10,610.7332880575307,171.48194117802672,24.425425819675176,1.0,0.0
B21,B29,0,11,628.8269575731072,158.6839405468025,24.971878609880328,1.0,0.0
